"Length (cm)","Comprimento (cm)"
"Height (cm)","Altura (cm)"
"Width (cm)","Largura (cm)"
"API Token","Token API"
"Additional Lead Time (days)","Tempo de Entrega Adicional (dias)"
"Enabled","Habilitado"
"Title","Título"
"Name","Nome"
"Ship to Specific Countries","Enviar para Países Específicos"
"Displayed Error Message","Mostrar Mensagem de Erro"
"Ship to Applicable Countries","Países Aplicáveis para Entrega"
"Weight Attribute","Atributo Peso"
"Height Attribute","Atributo Altura"
"Length Attribute","Atributo Comprimento"
"Width Attribute","Atributo Largura"
"Default Weight","Peso Padrão"
"Default Height","Altura Padrão"
"Default Length","Comprimento Padrão"
"Default Width","Largura Padrão"
"Default Cargo Type","Tipo de Carga Padrão"
"Yes","Sim"
"No","Não"
"Enable","Habilitar"
"Disable","Desabilitar"
"Debug","Modo Debug"
"Default Measurements","Medidas Padrão"
"Method Title","Título do Método"
"Additional Lead Time","Tempo de Entrega Adicional"
"Attributes Mapping","Mapeamento de Atributos"
"Postcode","CEP"
"Sorry. No quotes were found for this postcode.","Desculpe. Nenhuma cotação foi encontrada para este cep."
"Free Shipping","Entrega Grátis"
"Central do Frete Cargo Type","Central do Frete Tipo de Carga"
"Central Frete Quotation Code","Código da Cotação Central do Frete"
